sample_id,layout_points,structure,fixture,sequence,design,p_sim_mm,pass_in_model,efficiency_factor,current_factor,voltage_factor,travel_speed_factor,conductivity_factor_q235b,conductivity_factor_qt450_10,alpha_factor_q235b,alpha_factor_qt450_10,young_factor_q235b,young_factor_qt450_10,fixture_stiffness_factor,initial_eccentricity_mm
3,4,baseline,rigid,S2,baseline-rigid-4P-S2,0.018812,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,baseline,rigid,S3,baseline-rigid-4P-S3,0.018812,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,baseline,compliant,S1,baseline-compliant-4P-S1,0.027743,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,baseline,compliant,S2,baseline-compliant-4P-S2,0.015038,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,baseline,compliant,S3,baseline-compliant-4P-S3,0.015038,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,rigid,S1,flex-rigid-4P-S1,0.024752,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,rigid,S2,flex-rigid-4P-S2,0.013555,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,rigid,S3,flex-rigid-4P-S3,0.013555,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,compliant,S1,flex-compliant-4P-S1,0.0196,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,compliant,S2,flex-compliant-4P-S2,0.011009,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,4,flex,compliant,S3,flex-compliant-4P-S3,0.011009,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,6,baseline,rigid,S1,baseline-rigid-6P-S1,0.0438,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,6,baseline,rigid,S2,baseline-rigid-6P-S2,0.015803,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
3,6,baseline,rigid,S3,baseline-rigid-6P-S3,0.015803,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
