candidate,resolution,thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,position_sensitivity_diameter_mm,bore_fit_rms_mm,relative_linear_residual,maximum_displacement_mm,formal_welding_residual_prediction
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_0,1000000.0,0.0014004678169819524,0.00046673396985527806,1.2701552771579663e-14,0.008115861024808694,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_30,1000000.0,0.0013939338574524942,0.0004703529451709494,1.2543651447428241e-14,0.008129078286780332,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_60,1000000.0,0.0014069395455362048,0.00046950885032737464,1.2763520304342572e-14,0.008133968779382184,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_90,1000000.0,0.0014149240911870663,0.0004671968453972666,1.2557595240419011e-14,0.008115073739293717,False
Continuous,medium,elmer,high_expansion_low_yield,uniform_half,1000000.0,3.396165444326862e-05,0.0004080966310124576,1.3285208628655785e-14,0.00619540701077981,False
Continuous,medium,elmer,high_expansion_low_yield,uniform_full,1000000.0,2.3577908250034794e-05,0.0002830851262373155,1.2311982993656752e-14,0.006286901916420379,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_0,1000000.0,0.007363717417866737,0.0005485207484802421,1.2895209325808564e-14,0.007689034258491391,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_30,1000000.0,0.007437324319352136,0.0005609744332754351,1.2660084362901409e-14,0.0076850126067325355,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_60,1000000.0,0.007467659658278484,0.0005543166059270245,1.286103676384911e-14,0.007700554581407819,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_90,1000000.0,0.007399847451542881,0.0005524612271595633,1.2859570138410415e-14,0.0077145809797483774,False
6P-FAIR_B,coarse,fvm,nominal,uniform_half,10000.0,7.606627066175404e-05,0.0001796877630663424,1.0453633101411359e-14,0.008325923478161502,False
6P-FAIR_B,coarse,fvm,nominal,uniform_full,10000.0,7.533426873956163e-05,0.00028293038092150075,7.002744460707122e-15,0.012344232991270257,False
6P-FAIR_B,coarse,fvm,nominal,hemisphere_0,10000.0,0.004471302780381864,0.0002643285635211627,9.117003083747643e-15,0.012139204352791871,False
6P-FAIR_B,coarse,fvm,nominal,hemisphere_30,10000.0,0.00422471663743457,0.00023517819058735778,8.090984832371852e-15,0.012198690998400541,False
6P-FAIR_B,coarse,fvm,nominal,hemisphere_60,10000.0,0.004503243147876603,0.0002626553297120141,8.94656705344543e-15,0.012249936983089155,False
6P-FAIR_B,coarse,fvm,nominal,hemisphere_90,10000.0,0.00429548660746938,0.00023166455613929244,8.166384570588784e-15,0.01197287910094158,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,uniform_half,10000.0,5.923958785853698e-05,0.00014449176040451668,8.998895756011666e-15,0.007688759557904409,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,uniform_full,10000.0,6.353424969113327e-05,0.00035643583483914936,9.454137334968533e-15,0.012618303271183209,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,hemisphere_0,10000.0,0.0022480147620426694,0.00026093621324057247,9.359044103276243e-15,0.012592632987830178,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,hemisphere_30,10000.0,0.0021294441097824465,0.0002517333559939345,8.922154074152176e-15,0.012614422287118066,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,hemisphere_60,10000.0,0.002282843276185955,0.00025661456099515724,9.379147781763998e-15,0.012633877800192643,False
6P-FAIR_B,coarse,fvm,low_expansion_high_yield,hemisphere_90,10000.0,0.0022032392551051866,0.0002497572880957903,9.105645804551317e-15,0.012349262042506389,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,uniform_half,10000.0,4.168291604869383e-05,0.00022625889993343906,1.0755140730439047e-14,0.008409320726742239,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,uniform_full,10000.0,5.820938310784629e-05,0.00016417607586669642,6.0298151353721174e-15,0.011566949070592476,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,hemisphere_0,10000.0,0.009537550897112938,0.0003770621923792146,1.017662030965793e-14,0.012042533292994016,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,hemisphere_30,10000.0,0.008794577586362425,0.00021908774441932647,8.513942190803425e-15,0.011911536309065076,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,hemisphere_60,10000.0,0.009622720243450192,0.00037806631233124716,1.0645710939159178e-14,0.01215408038261861,False
6P-FAIR_B,coarse,fvm,high_expansion_low_yield,hemisphere_90,10000.0,0.008838453509222471,0.00021971014058859526,9.153811465078487e-15,0.01182971722072757,False
6P-FAIR_B,coarse,elmer,nominal,uniform_half,10000.0,6.197204684805268e-05,0.00015587308960220953,1.0021383507704153e-14,0.0076616018841606185,False
6P-FAIR_B,coarse,elmer,nominal,uniform_full,10000.0,7.430947696114907e-05,0.0002845220515039065,7.251901099586586e-15,0.01226763077587863,False
6P-FAIR_B,coarse,elmer,nominal,hemisphere_0,10000.0,0.004431565925012737,0.0002537994130511292,8.918782812843278e-15,0.012051506153697732,False
6P-FAIR_B,coarse,elmer,nominal,hemisphere_30,10000.0,0.004190475157409937,0.00022376166468692115,8.219384524955931e-15,0.0121091711841969,False
6P-FAIR_B,coarse,elmer,nominal,hemisphere_60,10000.0,0.00446258344552217,0.00025231607192399604,8.881110577076205e-15,0.012158819827582462,False
6P-FAIR_B,coarse,elmer,nominal,hemisphere_90,10000.0,0.004257226116528437,0.00022104086447269664,8.206889096177577e-15,0.011889335954999448,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,uniform_half,10000.0,5.0304228624823925e-05,0.00012041859582784632,8.219466802424345e-15,0.006725638737585111,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,uniform_full,10000.0,5.654561660393442e-05,0.0003443030348774881,9.851500363083542e-15,0.01237718047790481,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,hemisphere_0,10000.0,0.0021720699491280812,0.00024266036603177283,9.252521838238823e-15,0.012374480131586731,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,hemisphere_30,10000.0,0.0020577150325752666,0.00023274962068422445,8.873950618778584e-15,0.012394165319011758,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,hemisphere_60,10000.0,0.0022004547424449876,0.0002381616759701401,9.160174621614209e-15,0.012412188857063359,False
6P-FAIR_B,coarse,elmer,low_expansion_high_yield,hemisphere_90,10000.0,0.0021192650170005394,0.00023222975819633295,8.913153970868503e-15,0.012104155428875704,False
6P-FAIR_B,coarse,elmer,high_expansion_low_yield,uniform_half,10000.0,4.2425987918210225e-05,0.0002097487061981912,1.1211102629302217e-14,0.00808258063505254,False
