thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
elmer,low_expansion_high_yield,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.0006070600305508001,0.0010865776476437,0
elmer,low_expansion_high_yield,uniform_full,10000.0,Continuous,8P-FAIR_B,2.7271869839747137e-05,0.0010373377775889448,0
elmer,low_expansion_high_yield,uniform_full,1000000.0,Continuous,8P-FAIR_B,5.937356277198411e-06,0.0010232087056138129,0
elmer,low_expansion_high_yield,uniform_half,10000.0,Continuous,8P-FAIR_B,2.600443546210362e-05,0.0010130147376168663,0
elmer,low_expansion_high_yield,uniform_half,1000000.0,Continuous,8P-FAIR_B,2.0705408698147142e-05,0.0010082961919035984,0
elmer,nominal,hemisphere_0,10000.0,Continuous,8P-FAIR_B,-8.174395402690045e-05,0.0012282089823289002,0
elmer,nominal,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.0012237225591288994,0.0012061620594171,-1
elmer,nominal,hemisphere_30,10000.0,Continuous,8P-FAIR_B,-0.00015749559501210004,0.0012209582896470002,0
elmer,nominal,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0011111331472523,0.0011792304715135008,0
elmer,nominal,hemisphere_60,10000.0,Continuous,8P-FAIR_B,-0.0001465170912610999,0.001158011546422301,0
elmer,nominal,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.0011086839302438998,0.0011140789612935995,0
elmer,nominal,hemisphere_90,10000.0,Continuous,8P-FAIR_B,-3.425209736539984e-05,0.0011676455562827995,0
elmer,nominal,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.0011645263840459998,0.0011557815007918006,-1
elmer,nominal,uniform_full,10000.0,Continuous,8P-FAIR_B,1.7595581708154895e-05,0.0010566658425780599,0
elmer,nominal,uniform_full,1000000.0,Continuous,8P-FAIR_B,2.2823282004106314e-07,0.0010508758311138136,0
elmer,nominal,uniform_half,10000.0,Continuous,8P-FAIR_B,2.5115984107674406e-05,0.0010168480829875124,0
elmer,nominal,uniform_half,1000000.0,Continuous,8P-FAIR_B,1.598122052679926e-05,0.0010105080073063803,0
fvm,high_expansion_low_yield,hemisphere_0,10000.0,Continuous,8P-FAIR_B,0.0006757842738543008,0.0011601935543862985,0
fvm,high_expansion_low_yield,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.001738832281118101,0.0012074505232938992,-1
fvm,high_expansion_low_yield,hemisphere_30,10000.0,Continuous,8P-FAIR_B,0.00034713834694339966,0.001060726805948699,0
fvm,high_expansion_low_yield,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0016935230208595005,0.001117822123408,-1
fvm,high_expansion_low_yield,hemisphere_60,10000.0,Continuous,8P-FAIR_B,0.00032937044968909916,0.0010542565734347016,0
fvm,high_expansion_low_yield,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.001715802810240699,0.0010470860418523003,-1
fvm,high_expansion_low_yield,hemisphere_90,10000.0,Continuous,8P-FAIR_B,0.0006844079518857991,0.0011293641046871009,0
fvm,high_expansion_low_yield,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.0017117544671003994,0.0011104868860989017,-1
fvm,high_expansion_low_yield,uniform_full,10000.0,Continuous,8P-FAIR_B,-1.5134453621001894e-05,0.0010273169954392867,0
fvm,high_expansion_low_yield,uniform_full,1000000.0,Continuous,8P-FAIR_B,-2.9322424214256254e-05,0.0010281737623058088,0
fvm,high_expansion_low_yield,uniform_half,10000.0,Continuous,8P-FAIR_B,2.2782576404382354e-05,0.00102562823260832,0
