thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,6P-FAIR_B,8P-FAIR_B,Continuous
fvm,low_expansion_high_yield,hemisphere_60,10000.0,7.563755093730005e-05,7.85566007300998e-05,3.6915885217800315e-05
fvm,low_expansion_high_yield,hemisphere_60,1000000.0,4.9256458716900094e-05,5.8712341814200035e-05,1.2376749734199994e-05
fvm,low_expansion_high_yield,hemisphere_90,10000.0,0.00010256549337499992,9.662841147589987e-05,4.260046430609992e-05
fvm,low_expansion_high_yield,hemisphere_90,1000000.0,8.890871041799999e-05,8.634617418730017e-05,1.686157665410008e-05
fvm,low_expansion_high_yield,uniform_full,10000.0,2.6355637599884688e-05,2.0512739646866842e-05,5.6627925501698755e-06
fvm,low_expansion_high_yield,uniform_full,1000000.0,4.6002234842708835e-05,9.811950900897924e-06,5.783325227499122e-06
fvm,low_expansion_high_yield,uniform_half,10000.0,3.9087974793165234e-05,8.171542966701494e-07,1.036321759185413e-05
fvm,low_expansion_high_yield,uniform_half,1000000.0,4.7368305882638484e-05,3.0660467376409324e-06,4.863595952938417e-06
fvm,nominal,hemisphere_0,10000.0,6.932233207399951e-05,0.00015972541568590008,7.991510483659932e-05
fvm,nominal,hemisphere_0,1000000.0,1.251683168919989e-05,0.00015373438877800023,6.926754184109979e-05
fvm,nominal,hemisphere_30,10000.0,3.631361114869985e-05,0.00013685516847629971,6.785576749050032e-05
fvm,nominal,hemisphere_30,1000000.0,2.378700992760035e-05,0.0001295200290420996,4.616503002010004e-05
fvm,nominal,hemisphere_60,10000.0,8.172111623520016e-05,7.502078548309987e-05,7.833552752890046e-05
fvm,nominal,hemisphere_60,1000000.0,5.7766427529002545e-06,6.677914515770041e-05,4.660912292769968e-05
fvm,nominal,hemisphere_90,10000.0,0.00011761297443880006,6.337213322890004e-05,0.0001133087944685
fvm,nominal,hemisphere_90,1000000.0,6.892425763210027e-05,7.818612173650027e-05,8.328640890079963e-05
fvm,nominal,uniform_full,10000.0,4.1152748702181885e-05,4.314369532146694e-05,1.951482914981002e-05
fvm,nominal,uniform_full,1000000.0,6.299289211006327e-05,4.255808357326978e-05,1.4334608533046865e-05
fvm,nominal,uniform_half,10000.0,5.5932301135602795e-05,1.866692287755873e-05,6.868282526949246e-06
fvm,nominal,uniform_half,1000000.0,6.893546076253163e-05,9.651826596672931e-06,4.0046854236559e-06
