x_mm,y_mm,z_mm
5.332314649233486,-21.333341071825018,12.0
5.3326805724065975,-18.666566954244768,12.0
5.331841895682692,18.66659108942756,12.0
5.332275603138382,21.33314923251646,12.0
7.998890352434613,-18.666642656636995,12.0
7.998893735224834,18.666456941472962,12.0
10.665636316845479,-18.666608432164104,12.0
10.665994196404748,-15.999831091736812,12.0
10.665368585868698,16.000380517532438,12.0
10.66591342854149,18.666509634216084,12.0
13.332232871124473,-15.999844163031176,12.0
13.332534456556312,-13.333508165459921,12.0
13.332018674010046,13.333801444787804,12.0
13.332535234497218,15.99993544977451,12.0
15.998870454127582,-13.3331631658946,12.0
15.998831165166669,-10.666916806729354,12.0
15.998752533648005,10.667129882793168,12.0
15.999213967019369,13.333291636040958,12.0
18.66560921033598,-10.666520531115761,12.0
18.665630243814924,-7.999759595870564,12.0
18.66554917822204,-5.333543814177902,12.0
18.664981642255395,-2.6663064743700464,12.0
18.665073135755897,0.0003113328490057706,12.0
18.665148890856862,2.66778566886455,12.0
18.665818973055533,5.3339977007670045,12.0
18.665980518927125,8.000274893313431,12.0
18.66595418615858,10.666581992571718,12.0
21.332326247345158,-5.333147476851454,12.0
21.33230021558265,-2.6663985075637555,12.0
21.332392248776358,0.0002826441350699413,12.0
21.332420937490294,2.6669570216327836,12.0
21.332593729275057,5.3335377376782365,12.0
