time_s,qt_pair_residual_j,q235_pair_residual_j,q235_interior_residual_j,qt_interior_residual_j,weld_interior_residual_j,qt_weld_side_gradient_j,qt_parent_side_gradient_j,q235_weld_side_gradient_j,q235_parent_side_gradient_j
22,-8.41198351640438e-10,-1.98100034144136e-09,-2.2279590155629e-08,-1.88343439100542e-09,-2.02036462228597e-09,17.5414978941587,12.352737771794,18.9776131653025,12.8466736019907
22.1,-8.4307636115456e-10,-1.98641945004397e-09,-2.23891456172254e-08,-1.88678712911362e-09,-2.02502585233175e-09,17.555206770871,12.3701252268287,18.9553459812539,12.8345553449382
22.2,-8.364794647415e-10,-1.97150558514181e-09,-2.22719749107866e-08,-1.87445426434989e-09,-2.00924931048621e-09,17.5684972705323,12.3872916561688,18.932705873245,12.8222183929564
22.3,-8.25005463521867e-10,-1.94494097484842e-09,-2.20227501066841e-08,-1.85180006034813e-09,-1.98124533249822e-09,17.5813511336775,12.4042152300834,18.9096458067973,12.8096245993914
22.4,-8.10782047436806e-10,-1.91202509010888e-09,-2.17020252734385e-08,-1.82337940701789e-09,-1.94700626239676e-09,17.5937674414279,12.4208873151728,18.8861445467699,12.7967544577569
22.5,-7.95303764535818e-10,-1.87613458576814e-09,-2.13483966681204e-08,-1.79220592232245e-09,-1.90942058478962e-09,17.6057570428118,12.4373081392734,18.8621993006629,12.7836017362332
22.6,-7.79459523021862e-10,-1.83943511386975e-09,-2.09853111437187e-08,-1.76010375444329e-09,-1.87109246438978e-09,17.6173391527715,12.453484103321,18.8378209691222,12.7701699989736
22.7,-7.63787229331723e-10,-1.80294800374286e-09,-2.06287771304235e-08,-1.72822276362478e-09,-1.83349453902747e-09,17.6285391088244,12.4694260335036,18.813030883316,12.7564702299674
22.8,-6.78438140844402e-10,-1.59812433170878e-09,-1.83245667928443e-08,-1.55605481018209e-09,-1.62662697258593e-09,17.6393867634868,12.4851479755114,18.787858410096,12.7425191116264
22.9,-5.85616869342061e-10,-1.38034133079288e-09,-1.59395431612773e-08,-1.36545903264492e-09,-1.40477481247136e-09,17.6519103049658,12.5014038301307,18.7643992103466,12.7293935483043
23,-6.06676780589687e-10,-1.43147955926457e-09,-1.65708377708582e-08,-1.40896172705232e-09,-1.4558283946746e-09,17.6655995215402,12.5182287557962,18.742360284085,12.7171319551456
23.1,-7.21273888136314e-10,-1.70300829483631e-09,-1.96810047295039e-08,-1.64865789496306e-09,-1.73108585659046e-09,17.6796849233528,12.5353587863098,18.7210108545791,12.7053773077274
23.2,-7.68533433263439e-10,-1.8169019445018e-09,-2.10396280723443e-08,-1.74314379722681e-09,-1.84527780672577e-09,17.6937489969606,12.552565671017,18.69987551707,12.6938287528817
23.3,-7.89018766040326e-10,-1.86685319260923e-09,-2.1677751561951e-08,-1.7850497744147e-09,-1.89494791307586e-09,17.7075749417682,12.5697000606656,18.6786688725386,12.6822864270987
23.4,-7.93956016545676e-10,-1.87987198148277e-09,-2.18935768268265e-08,-1.79566144064132e-09,-1.90693116224326e-09,17.7210487858496,12.5866720082833,18.6572196841037,12.6706244026565
23.5,-7.89306762907348e-10,-1.86988931532694e-09,-2.18473648288283e-08,-1.78673678558085e-09,-1.89584400874106e-09,17.7341120876412,12.6034297256539,18.6354258071434,12.6587649401599
23.6,-7.78991248378625e-10,-1.84623430162878e-09,-2.1645400779966e-08,-1.76627592002801e-09,-1.87092383218135e-09,17.7467386720787,12.6199453487206,18.6132289273854,12.646661728416
23.7,-7.65437419231272e-10,-1.81523031875979e-09,-2.13557537295489e-08,-1.73945434260629e-09,-1.83819748363458e-09,17.7589224979052,12.6362063102318,18.5906000627987,12.6342896450043
23.8,-7.50315412828117e-10,-1.78034254447678e-09,-2.10234405239409e-08,-1.70925460655121e-09,-1.80160965036523e-09,17.7706709125912,12.6522101755427,18.5675308677755,12.6216384469373
23.9,-7.34540904202786e-10,-1.74392489122775e-09,-2.06745412101166e-08,-1.67784483591142e-09,-1.76351981211993e-09,17.7820006399873,12.6679614807949,18.5440281332649,12.6087087441272
24,-7.18798965661238e-10,-1.70774881901232e-09,-2.03277141568171e-08,-1.64597636359528e-09,-1.72560644205395e-09,17.7929352082159,12.6834697138684,18.5201100925978,12.5955093012797
24.1,-6.41342958178793e-10,-1.52211590735501e-09,-1.82127677840054e-08,-1.48784822616952e-09,-1.53830226733893e-09,17.8035031598946,12.6987479513541,18.4958037722544,12.5820551235836
24.2,-5.94847011112318e-10,-1.41038370115839e-09,-1.69483868809575e-08,-1.39928959239892e-09,-1.425954183279e-09,17.8149394903496,12.7142565459833,18.4723855217217,12.569002866111
24.3,-5.13657122695396e-10,-1.22183843899166e-09,-1.48375717768866e-08,-1.21911367616466e-09,-1.23310671000616e-09,17.8279130620085,12.7303793806421,18.4506876336398,12.5568940791583
24.4,-6.42592282499004e-10,-1.52811174871097e-09,-1.84854702870922e-08,-1.49791930591958e-09,-1.54231003910864e-09,17.8415138600947,12.7469000374378,18.4299216187424,12.5454259852497
24.5,-7.01319238251806e-10,-1.67032914477378e-09,-2.02446900800894e-08,-1.61773223759747e-09,-1.68409170921668e-09,17.8552098426683,12.7635650999159,18.4095190478213,12.534262641612
24.6,-7.26649552432613e-10,-1.73258115230483e-09,-2.10773165876308e-08,-1.66919600475184e-09,-1.74550156591072e-09,17.8687260834088,12.7801979666137,18.3891360119089,12.5231699067599
24.7,-7.34613846749971e-10,-1.75338395200036e-09,-2.14213250826934e-08,-1.68632456766101e-09,-1.76493908086322e-09,17.8819187883375,12.7966899984304,18.3685667978789,12.5119986843206
24.8,-7.31874794600816e-10,-1.74858353014021e-09,-2.14603507400053e-08,-1.68165353337661e-09,-1.75833185469867e-09,17.8947131404848,12.8129776755587,18.3476883067663,12.5006563804975
24.9,-7.22649937177737e-10,-1.72787625711286e-09,-2.13143334148407e-08,-1.66331837371183e-09,-1.73615865338094e-09,17.9070732958159,12.8290257947156,18.3264288355384,12.4890870030188
25,-7.09697144476475e-10,-1.69846074426778e-09,-2.10624842677783e-08,-1.63775204364894e-09,-1.70506837313705e-09,17.9189871041227,12.8448170708003,18.3047503994828,12.4772588888233
25.1,-6.94891120339713e-10,-1.66420976107392e-09,-2.07548918538488e-08,-1.6084226992803e-09,-1.66926589662299e-09,17.9304578185637,12.8603459205519,18.2826383175171,12.4651572014047
25.2,-6.79100705031944e-10,-1.62822328420042e-09,-2.04228250039816e-08,-1.57657504926106e-09,-1.63133984225932e-09,17.9414992890988,12.8756146990103,18.2600947585533,12.4527792140771
25.3,-6.63313688155885e-10,-1.59150917406837e-09,-2.00877879710074e-08,-1.54473032405676e-09,-1.59320568839043e-09,17.9521329670975,12.8906313373186,18.2371345038368,12.4401312088777
25.4,-6.23890441696015e-10,-1.49801712416467e-09,-1.9043453048876e-08,-1.46418334635886e-09,-1.49788792719923e-09,17.9623858831534,12.9054077819983,18.2137819801152,12.4272263230186
25.5,-5.70137569100293e-10,-1.366839669307e-09,-1.74910526384239e-08,-1.35724720172929e-09,-1.36703200871094e-09,17.9726917440443,12.9201077403418,18.1904850973715,12.4142962112112
25.6,-4.57319613276531e-10,-1.10000869453812e-09,-1.43044028448026e-08,-1.10990437601996e-09,-1.09784038140774e-09,17.9849008457077,12.9354638037283,18.1692041526126,12.4023861324755
25.7,-5.52862155470298e-10,-1.33014505459368e-09,-1.72537696825465e-08,-1.32295035693409e-09,-1.327200248398e-09,17.9979693928083,12.9513095339261,18.1490993591141,12.3912509085514
25.8,-6.23930226386314e-10,-1.50349989316151e-09,-1.95296110867353e-08,-1.47241995529849e-09,-1.49846100054563e-09,18.0112515567153,12.9673673171731,18.1295105817559,12.3805207450587
25.9,-6.52545634389524e-10,-1.57513787210346e-09,-2.05633517761803e-08,-1.53148592865291e-09,-1.56784647686737e-09,18.024413922216,12.9834334653032,18.1100354117052,12.3699274637102
26,-6.62409526427758e-10,-1.60142568401012e-09,-2.1032245849867e-08,-1.55261731678786e-09,-1.59225427429656e-09,18.0372824527934,12.9993805511417,18.0904334230302,12.3592987389271
