time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
21.5,weld_center,0.0,-0.5,0.5,3,1.0,1113.9777902083079,1249.3303353815336,-135.35254517322574,1169.9172022840596,1249.33033538153,-79.41313309747034
21.5,qt_near_interface,0.0,-0.2,-0.2,2,1.0,895.4484768531534,1025.0734525357595,-129.6249756826062,904.1249664033469,1025.07345253576,-120.94848613241311
21.5,qt_far,0.0,-1.0,-1.0,2,1.0,766.2662834803533,833.4963286186774,-67.23004513832404,757.5326398675904,833.496328618677,-75.96368875108658
21.5,q235_near_interface,0.0,0.2,0.0,1,1.0,771.8625241790213,785.8221790086808,-13.959654829659485,811.3506714409865,785.822179008681,25.528492432305484
21.5,q235_far,0.0,1.0,0.0,1,1.0,635.8749121784166,647.2842931548463,-11.409380976429702,647.882821831996,647.284293154846,0.5985286771500569
21.5,line_00,0.0,-1.5,-0.5,2,1.0,841.2406683147067,899.4780469383694,-58.23737862366272,931.4978344250084,nan,nan
21.5,line_01,0.0,-1.4,-0.4,2,1.0,878.4803704429017,939.9405861656733,-61.46021572277152,978.6394403523954,nan,nan
21.5,line_02,0.0,-1.3,-0.3,2,1.0,901.2755636657894,968.6517145122746,-67.37615084648519,1024.940781810282,nan,nan
21.5,line_03,0.0,-1.2,-0.2,2,1.0,924.9729261615537,998.1553001653311,-73.18237400377745,1058.538856552022,nan,nan
21.5,line_04,0.0,-1.1,-0.1,2,1.0,944.5160979955075,1027.1688341545323,-82.65273615902481,1089.2188339865413,nan,nan
21.5,line_05,0.0,-1.0,0.0,3,1.0,1029.5632450881783,1196.34368996456,-166.7804448763818,1115.9682980371379,nan,nan
21.5,line_06,0.0,-0.9,0.1,3,1.0,1076.226904819154,1234.3583219162006,-158.13141709704655,1138.8678291812946,nan,nan
21.5,line_07,0.0,-0.8,0.2,3,1.0,1095.3313768100745,1247.2473357252131,-151.91595891513862,1155.555373068383,nan,nan
21.5,line_08,0.0,-0.7,0.3,3,1.0,1111.8711116973311,1257.7940572411235,-145.92294554379237,1165.6496766407095,nan,nan
21.5,line_09,0.0,-0.6,0.4,3,1.0,1115.3056705874742,1255.919640561971,-140.61396997449674,1170.9322146783616,nan,nan
21.5,line_10,0.0,-0.5,0.5,3,1.0,1113.9777902083079,1249.3303353815336,-135.35254517322574,1169.917202284059,nan,nan
21.5,line_11,0.0,-0.4,0.6,3,1.0,1109.6727135223719,1240.2450855486363,-130.57237202626447,1163.0585431182376,nan,nan
21.5,line_12,0.0,-0.3,0.7,3,1.0,1095.9926880120174,1222.3368064598947,-126.34411844787724,1151.244176943741,nan,nan
21.5,line_13,0.0,-0.2,0.8,3,1.0,1076.6002795491156,1198.5585173999432,-121.95823785082757,1133.7543526667096,nan,nan
21.5,line_14,0.0,-0.1,0.9,3,1.0,1048.2189978990325,1169.4592597759317,-121.24026187689924,1110.799110287216,nan,nan
21.5,line_15,0.0,0.0,1.0,1,1.0,940.1515893540916,983.184947912264,-43.03335855817238,1082.1044759492709,nan,nan
21.5,line_16,0.0,0.1,1.1,1,1.0,919.1428985770644,960.1956450523204,-41.05274647525596,1053.465797851446,nan,nan
21.5,line_17,0.0,0.2,1.2,1,1.0,897.687430300079,936.1951561396024,-38.50772583952346,1017.7401376530356,nan,nan
21.5,line_18,0.0,0.3,1.3,1,1.0,883.3425874517444,921.2984502318584,-37.95586278011399,974.5385421258417,nan,nan
21.5,line_19,0.0,0.4,1.4,1,1.0,854.3686318871424,888.992804759885,-34.62417287274252,930.0626540555342,nan,nan
21.5,line_20,0.0,0.5,1.5,1,1.0,827.510660116931,859.4170545663278,-31.90639444939677,879.2177024873766,nan,nan
21.5,line_21,0.0,0.6,1.6,1,1.0,797.7267212255626,826.4349181056263,-28.70819688006361,825.7687600191036,nan,nan
21.5,line_22,0.0,0.7,1.7,1,1.0,763.3434420697329,788.8137963435087,-25.470354273775797,775.267029753806,nan,nan
21.5,line_23,0.0,0.8,1.8,1,1.0,729.5740168320966,751.9015933884516,-22.327576556354984,738.1741341461934,nan,nan
21.5,line_24,0.0,0.9,1.9,1,1.0,697.9795334736219,719.742587756695,-21.763054283073075,712.8807637835725,nan,nan
21.5,line_25,0.0,1.0,2.0,1,1.0,666.1463563850599,686.1416104266351,-19.99525404157521,688.4098492031354,nan,nan
21.6,weld_center,0.0,-0.5,0.5,3,1.0,1117.4330807528997,1252.1352923435882,-134.70221159068842,1177.0613336494735,1252.13529234359,-75.07395869411653
21.6,qt_near_interface,0.0,-0.2,-0.2,2,1.0,900.609555310419,1030.4217221628076,-129.8121668523886,911.8983503183018,1030.42172216281,-118.52337184450823
21.6,qt_far,0.0,-1.0,-1.0,2,1.0,770.800949872181,838.2080723700022,-67.4071224978212,763.3861880711473,838.208072370002,-74.82188429885468
21.6,q235_near_interface,0.0,0.2,0.0,1,1.0,777.2509648842256,791.0774872496467,-13.826522365421056,818.3562897951898,791.077487249647,27.278802545542817
21.6,q235_far,0.0,1.0,0.0,1,1.0,640.6999657088056,652.1315592640377,-11.431593555232098,653.4495543110808,652.131559264038,1.317995047042814
