time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
22.5,line_02,0.0,-1.3,-0.3,2,1.0,817.2309859395085,856.3062974231232,-39.075311483614655,893.0842963231884,nan,nan
22.5,line_03,0.0,-1.2,-0.2,2,1.0,834.0056486702953,876.1713307454141,-42.165682075118866,916.4480514402331,nan,nan
22.5,line_04,0.0,-1.1,-0.1,2,1.0,847.346293103664,895.3064714117739,-47.9601783081099,938.1412373019555,nan,nan
22.5,line_05,0.0,-1.0,0.0,3,1.0,901.4344766270756,1003.0177483523883,-101.58327172531267,957.1781204631952,nan,nan
22.5,line_06,0.0,-0.9,0.1,3,1.0,959.9222606210717,1060.4391982669424,-100.51693764587071,995.0934206975487,nan,nan
22.5,line_07,0.0,-0.8,0.2,3,1.0,986.0909628349572,1083.4977743158533,-97.40681148089618,1023.6431786587965,nan,nan
22.5,line_08,0.0,-0.7,0.3,3,1.0,1009.1392572196502,1103.1488024464682,-94.00954522681798,1042.2467021303607,nan,nan
22.5,line_09,0.0,-0.6,0.4,3,1.0,1014.1900329487881,1103.5567316954111,-89.366698746623,1051.204195039234,nan,nan
22.5,line_10,0.0,-0.5,0.5,3,1.0,1012.5586101653929,1096.769354153252,-84.21074398785902,1049.7502394411313,nan,nan
22.5,line_11,0.0,-0.4,0.6,3,1.0,1006.7133208814581,1085.4445757103447,-78.73125482888656,1037.9995647359258,nan,nan
22.5,line_12,0.0,-0.3,0.7,3,1.0,987.220495251791,1059.9663099910008,-72.74581473920978,1016.8766458151034,nan,nan
22.5,line_13,0.0,-0.2,0.8,3,1.0,959.2499575341834,1025.3595830818651,-66.10962554768173,986.5746114599938,nan,nan
22.5,line_14,0.0,-0.1,0.9,3,1.0,919.231329841944,980.6988896893993,-61.46755984745528,947.093738223911,nan,nan
22.5,line_15,0.0,0.0,1.0,1,1.0,825.014077243803,839.7461824380048,-14.732105194201836,898.7512948759836,nan,nan
22.5,line_16,0.0,0.1,1.1,1,1.0,812.7431685958064,826.8938680100194,-14.150699414213022,882.2841015892719,nan,nan
22.5,line_17,0.0,0.2,1.2,1,1.0,800.1664449547766,813.3776223316621,-13.21117737688553,861.2375369444557,nan,nan
22.5,line_18,0.0,0.3,1.3,1,1.0,792.4228775238681,805.5474788896674,-13.124601365799322,835.5595490075898,nan,nan
22.5,line_19,0.0,0.4,1.4,1,1.0,774.772441278418,786.9795667090514,-12.207125430633369,809.877255792968,nan,nan
